Id,Category
268,Amy Adams
269,Benedict Cumberbatch
270,Anna Paquin
271,Adrianne Palicki
272,Beyonce Knowles
273,Adele
274,Art Carney
275,Benicio Del Toro
276,Andrew Garfield
277,Beyonce Knowles
278,Adrianne Palicki
279,Anne Bancroft
280,Ali Larter
281,Amber Heard
282,Adele
283,Andy Garcia
284,Adele
285,Anderson Cooper
286,Adele
287,Adriana Barraza
288,Anne Baxter
289,Alex Pettyfer
290,Alexander Skarsgard
291,Bill Hader
292,bella thorne
293,Andy Garcia
294,bella thorne
295,Andy Serkis
296,Amy Schumer
297,Adele
298,Alex Pettyfer
299,Andrew Lincoln
300,Albert Finney
301,Bill Pullman
302,Amanda Seyfried
303,Antonio Banderas
304,Amy Adams
305,Adele
306,Analeigh Tipton
307,Arnold Schwarzenegger
308,Anna Faris
309,Ali Larter
310,Ben Johnson
311,Andy Garcia
312,Aaron Paul
313,Andrew Luck
314,Bill Pullman
315,Adele
316,Angelina Jolie
317,Adele
318,Abigail Breslin
319,Ashton Kutcher
320,Arnold Schwarzenegger
321,Alicia Vikander
322,Adrien Brody
323,Ben Johnson
324,Adele
325,Aaron Taylor-Johnson
326,Anjelica Huston
327,Barry Pepper
328,Bill Hader
329,Adele
330,Akemi Darenogare
331,Alexis Thorpe
332,Anthony Mackie
333,Alex Pettyfer
334,Adrianne Palicki
335,Anthony Perkins
336,Audrey Tautou
337,Anthony Mackie
338,Adrianne Palicki
339,Alexander Skarsgard
340,Andrew Lincoln
341,Annette Bening
342,Ben Foster
343,Adele
344,Andy Serkis
345,Amanda Peet
346,Ashton Kutcher
347,Ben Affleck
348,Anderson Cooper
349,Benjamin Bratt
350,Abigail Breslin
351,Andrew Luck
352,Ashley Judd
353,Ben Kingsley
354,Benjamin Bratt
355,Andrew Garfield
356,Barabara Palvin
357,Analeigh Tipton
358,Billy Bob Thornton
359,Amanda Peet
360,Abigail Breslin
361,Adele
362,Bill Pullman
363,Amy Schumer
364,Ben Foster
365,Anthony Mackie
366,Bill Pullman
367,Angela Bassett
368,Ali Larter
369,Alec Baldwin
370,Berenice Bejo
371,Andrew Garfield
372,Al Roker
373,Adele
374,Bill Daley
375,Albert Brooks
376,Amanda Bynes
377,Ashley Graham
378,Andy Garcia
379,Andrew Lincoln
380,Audrey Tautou
381,Ashley Graham
382,Armin Mueller-Stahl
383,Adriana Lima
384,Andy Garcia
385,Anna Paquin
386,Adrien Brody
387,Andrew Luck
388,Ben Johnson
389,Anna Paquin
390,Amber Heard
391,Armin Mueller-Stahl
392,Anthony Perkins
393,Bette Midler
394,Bill Pullman
395,Andrew Garfield
396,Alan Arkin
397,Adriana Barraza
398,Adam Sandler
399,AnnaSophia Robb
400,Anthony Mackie
401,Anna Paquin
402,Aaron Judge
403,Bill Murray
404,Adele
405,Anthony Perkins
406,Annette Bening
407,Adele
408,Ali Larter
409,Adriana Lima
410,Audrey Tautou
411,Benicio Del Toro
412,Adrien Brody
413,Alex Pettyfer
414,Albert Brooks
415,Adele
416,Anthony Mackie
417,Ben Stiller
418,Alex Pettyfer
419,Ben Johnson
420,Alexandra Daddario
421,Ben Kingsley
422,Akemi Darenogare
423,Andrew Garfield
424,Anna Kendrick
425,Berenice Bejo
426,Andy Samberg
427,Bill Hader
428,Ali Larter
429,Anna Paquin
430,Al Roker
431,Bill Pullman
432,Aaron Judge
433,Ben Kingsley
434,Adriana Barraza
435,Ben Johnson
436,Adele
437,Adam Sandler
438,Ali Larter
439,Ben Kingsley
440,Amy Ryan
441,Alice Eve
442,Alexandra Daddario
443,Alice Eve
444,Ben Affleck
445,Benjamin Bratt
446,Ben Kingsley
447,Anjelica Huston
448,Annette Bening
449,Amy Ryan
450,Angela Bassett
451,Art Carney
452,Ben Johnson
453,Alicia Vikander
454,Angela Bassett
455,Alexander Skarsgard
456,Berenice Bejo
457,Berenice Bejo
458,Alex Pettyfer
459,Adrien Brody
460,Ali Larter
461,Alec Baldwin
462,Adele
463,Billy Bob Thornton
464,Amanda Crew
465,Anna Paquin
466,Arnold Schwarzenegger
467,Ashley Greene
468,Amanda Seyfried
469,Ben Affleck
470,Antonio Banderas
471,Anna Kendrick
472,Andy Murray
473,Andy Murray
474,Amy Adams
475,Anne Baxter
476,Berenice Bejo
477,Andy Samberg
478,Antonio Banderas
479,Bill O Reilly
480,Benedict Cumberbatch
481,Andy Garcia
482,Anjelica Huston
483,Andy Garcia
484,Ali Larter
485,Abigail Breslin
486,Anderson Cooper
487,Annette Bening
488,Ava Gardner
489,Alec Baldwin
490,Berenice Bejo
491,Ali Larter
492,Antonio Banderas
493,Ali Larter
494,Adam Sandler
495,Ali Larter
496,Benicio Del Toro
497,Bill Pullman
498,Bill Murray
499,Abigail Breslin
500,Ben Johnson
501,Anderson Cooper
502,Andy Serkis
503,Ben Kingsley
504,Barbra Streisand
505,Alan Arkin
506,Ben Kingsley
507,Adriana Lima
508,Benjamin Bratt
509,bella thorne
510,Antonio Banderas
511,Ava Gardner
512,Adele
513,Bill Daley
514,Ava Gardner
515,Adele
516,Ashley Graham
517,Adele
518,Adele
519,Ben Kingsley
520,Barabara Palvin
521,Ali Larter
522,Arnold Schwarzenegger
523,Bill Hader
524,Ben Kingsley
525,Alessandra Ambrosio
526,Audrey Hepburn
527,Bill Murray
528,Albert Finney
529,Adam Sandler
530,Andrew Garfield
531,Anjelica Huston
532,Abigail Breslin
533,Angela Bassett
534,Ben Kingsley
535,Adriana Barraza
536,Ben Foster
537,Adele
538,Audrey Tautou
539,Bernie Mac
540,Anthony Mackie
541,Akemi Darenogare
542,Anderson Cooper
543,Ali Larter
544,Adele
545,Adele
546,Alicia Vikander
547,Amber Heard
548,Art Carney
549,Anderson Cooper
550,Ali Larter
551,Adrianne Palicki
552,Benedict Cumberbatch
553,Andy Garcia
554,Ashley Greene
555,Anna Kendrick
556,Anthony Mackie
557,Alexander Skarsgard
558,Ben Kingsley
559,Bill Hader
560,Albert Finney
561,Benedict Cumberbatch
562,Anthony Hopkins
563,Akemi Darenogare
564,Arnold Schwarzenegger
565,Benjamin Bratt
566,Antonio Banderas
567,Andy Garcia
568,Alex Pettyfer
569,Ben Stiller
570,Alex Pettyfer
571,Albert Finney
572,Anna Friel
573,Angelina Jolie
574,Bella Hadid
575,Andy Serkis
576,Bill Pullman
577,Alx James
578,Bill O Reilly
579,Anna Kendrick
580,Bette Midler
581,Alexander Skarsgard
582,Andie MacDowell
583,Aaron Taylor-Johnson
584,Anderson Cooper
585,Adele
586,Andy Garcia
587,Andreea Diaconu
588,Anne Bancroft
589,Alec Baldwin
590,Al Roker
591,Alessandra Ambrosio
592,Bill Paxton
593,Ben Affleck
594,Ashton Kutcher
595,bella thorne
596,Berenice Bejo
597,Ali Larter
598,Alessandra Ambrosio
599,Amanda Seyfried
600,Adele
601,Alan Alda
602,Anne Baxter
603,Anna Friel
604,Amanda Peet
605,Alessandra Ambrosio
606,Akemi Darenogare
607,Adele
608,Adele
609,Adele
610,Amy Schumer
611,Adele
612,Andrew Luck
613,Beyonce Knowles
614,Anthony Perkins
615,Amber Heard
616,Al Roker
617,Al Pacino
618,Betty White
619,Art Carney
620,Adele
621,Alex Pettyfer
622,Andy Murray
623,Bill Rancic
624,Albert Brooks
625,Anna Faris
626,Ali Larter
627,Alan Alda
628,Ben Johnson
629,Adele
630,Albert Finney
631,Albert Brooks
632,Benedict Cumberbatch
633,Andrew Luck
634,Adriana Lima
635,Adele
636,Alex Pettyfer
637,Audrey Tautou
638,Ashley Greene
639,Albert Finney
640,Adrien Brody
641,Ben Johnson
642,Antonio Banderas
643,Andy Samberg
644,Anna Friel
645,Berenice Bejo
646,Barabara Palvin
647,Adele
648,Alice Eve
649,Bill Daley
650,Ashley Judd
651,Alx James
652,Ali Larter
653,Albert Finney
654,Alex Pettyfer
655,Alexander Skarsgard
656,Arnold Schwarzenegger
657,Antonio Banderas
658,Anthony Mackie
659,Akemi Darenogare
660,Amanda Seyfried
661,Anne Bancroft
662,Adriana Barraza
663,Al Roker
664,Barbra Streisand
665,Andy Garcia
666,Bill Murray
667,Anne Baxter
668,Benedict Cumberbatch
669,Anna Faris
670,Anderson Cooper
671,Bill Daley
672,Adele
673,Alice Eve
674,Ben Kingsley
675,Beyonce Knowles
676,Anthony Hopkins
677,Amanda Bynes
678,Benedict Cumberbatch
679,Amy Ryan
680,Amy Schumer
681,Amanda Bynes
682,Ali Larter
683,Barbra Streisand
684,Akemi Darenogare
685,Adrien Brody
686,Bill Murray
687,Angela Bassett
688,Barbra Streisand
689,Al Pacino
690,Abigail Breslin
691,Bill Murray
692,Andrew Lincoln
693,Andy Garcia
694,Andy Samberg
695,Anna Faris
696,Adele
697,Andrew Garfield
698,Adele
699,AnnaSophia Robb
700,Barbra Streisand
701,Adele
702,Ava Gardner
703,Audrey Tautou
704,Andy Samberg
705,Anne Baxter
706,Armin Mueller-Stahl
707,Adele
708,Aaron Paul
709,Anthony Mackie
710,Alx James
711,Andie MacDowell
712,Bill Pullman
713,Anne Baxter
714,Albert Brooks
715,Ben Affleck
716,Annette Bening
717,Anne Bancroft
718,Albert Brooks
719,Albert Finney
720,Andrew Garfield
721,Aaron Paul
722,Adele
723,Abigail Breslin
724,Aaron Paul
725,Arnold Schwarzenegger
726,Adele
727,Amanda Crew
728,Amanda Peet
729,Benicio Del Toro
730,Ben Affleck
731,Adele
732,Audrey Hepburn
733,Adele
734,Anne Hathaway
735,Adele
736,Anna Paquin
737,Ava Gardner
738,Adriana Barraza
739,Alex Pettyfer
740,Bill Murray
741,Bernie Mac
742,Art Carney
743,Ashley Greene
744,Alicia Vikander
745,Adele
746,Amy Ryan
747,Ali Larter
748,Akemi Darenogare
749,Adriana Barraza
750,Akemi Darenogare
751,Anna Kendrick
752,Bill Pullman
753,Annette Bening
754,Antonio Banderas
755,Ben Stiller
756,Adele
757,Billy Bob Thornton
758,Ben Affleck
759,Barry Pepper
760,Adele
761,Andy Serkis
762,Andy Samberg
763,Alexandra Daddario
764,Anna Friel
765,Ashley Greene
766,Alx James
767,Adele
768,Adriana Barraza
769,Bill Paxton
770,AnnaSophia Robb
771,Ashley Greene
772,Anna Paquin
773,Akemi Darenogare
774,Bella Hadid
775,Annette Bening
776,Alex Pettyfer
777,Alessandra Ambrosio
778,Anthony Mackie
779,Ashley Graham
780,Andreea Diaconu
781,Andy Serkis
782,Ava Gardner
783,Bill Paxton
784,Amanda Peet
785,Adele
786,AnnaSophia Robb
787,bella thorne
788,Andrew Luck
789,Anna Paquin
790,Bill Murray
791,Armin Mueller-Stahl
792,Armin Mueller-Stahl
793,Andie MacDowell
794,Ava Gardner
795,Adrien Brody
796,Amy Ryan
797,Ben Affleck
798,Betty White
799,Betty White
800,Anna Kendrick
801,Anjelica Huston
802,Analeigh Tipton
803,Aaron Judge
804,Barabara Palvin
805,Amy Adams
806,Angela Bassett
807,Al Pacino
808,Anne Hathaway
809,Audrey Hepburn
810,Adrianne Palicki
811,bella thorne
812,Ben Affleck
813,Angelina Jolie
814,Annette Bening
815,Andy Garcia
816,Adele
817,Barbra Streisand
818,Ben Johnson
819,AnnaSophia Robb
820,Adrianne Palicki
821,Andy Murray
822,Ali Larter
823,Adele
824,Andy Garcia
825,Adele
826,Anthony Mackie
827,Anne Baxter
828,Bill Daley
829,Ben Johnson
830,Andreea Diaconu
831,Alex Pettyfer
832,Adele
833,Ben Kingsley
834,Ashley Judd
835,Andy Murray
836,Alex Pettyfer
837,Abigail Breslin
838,Anne Baxter
839,Benjamin Bratt
840,Betty White
841,Adele
842,Amanda Bynes
843,Ava Gardner
844,Andy Garcia
845,bella thorne
846,Alan Arkin
847,Barbra Streisand
848,Aaron Paul
849,Andy Garcia
850,Benicio Del Toro
851,Adele
852,Alicia Vikander
853,Angelina Jolie
854,Adam Sandler
855,Anthony Mackie
856,Ben Kingsley
857,Barabara Palvin
858,Anna Faris
859,Bill O Reilly
860,Anne Baxter
861,Alex Pettyfer
862,Benicio Del Toro
863,Andy Garcia
864,Amy Schumer
865,Ben Stiller
866,Alessandra Ambrosio
867,Anne Hathaway
868,Antonio Banderas
869,Bill Daley
870,Anjelica Huston
871,Ashley Judd
872,Albert Finney
873,Ben Kingsley
874,Bernie Mac
875,Alex Pettyfer
876,Adele
877,Andrew Garfield
878,Amy Schumer
879,Andy Samberg
880,Anne Baxter
881,Anjelica Huston
882,Bill Pullman
883,Alan Alda
884,Anna Faris
885,Ashley Greene
886,Anna Kendrick
887,Annette Bening
888,Adele
889,Ben Affleck
890,Alessandra Ambrosio
891,Amanda Bynes
892,Alessandra Ambrosio
893,Adele
894,Berenice Bejo
895,Anne Baxter
896,Andreea Diaconu
897,Annette Bening
898,Ava Gardner
899,Ashley Graham
900,Audrey Hepburn
901,Akemi Darenogare
902,Amy Ryan
903,Bernie Mac
904,Bill Pullman
905,Anna Kendrick
906,Adriana Barraza
907,Anne Baxter
908,Alx James
909,Andrew Luck
910,Ben Kingsley
911,Andy Samberg
912,Adele
913,Adele
914,Audrey Tautou
915,Anna Paquin
916,Ben Stiller
917,Ashley Judd
918,Alan Rickman
919,Amy Adams
920,Benicio Del Toro
921,Adele
922,Anne Baxter
923,Adele
924,Art Carney
925,Alexis Thorpe
926,Anjelica Huston
927,Adele
928,Bill O Reilly
929,Alan Arkin
930,Angela Bassett
931,Amy Schumer
932,Ali Larter
933,Aaron Judge
934,Anne Hathaway
935,Andie MacDowell
936,Bill Rancic
937,Arnold Schwarzenegger
938,Andy Murray
939,Albert Brooks
940,Ashley Greene
941,Alice Eve
942,Akemi Darenogare
943,Alice Eve
944,Bill O Reilly
945,Ben Foster
946,Ashley Judd
947,Armin Mueller-Stahl
948,Adriana Barraza
949,Adriana Barraza
950,Amy Adams
951,Alexandra Daddario
952,Adriana Barraza
953,Al Pacino
954,Andy Samberg
955,Adele
956,Akemi Darenogare
957,Ben Johnson
958,bella thorne
959,Barry Pepper
960,Akemi Darenogare
961,Aaron Paul
962,Amber Heard
963,Bill Murray
964,Amanda Seyfried
965,Ashley Judd
966,Anna Paquin
967,Albert Finney
968,Alx James
969,bella thorne
970,Amy Schumer
971,Al Pacino
972,Amanda Peet
973,Anne Baxter
974,Adriana Barraza
975,Amanda Bynes
976,Ben Kingsley
977,Audrey Tautou
978,Ashley Greene
979,Anna Friel
980,Ben Kingsley
981,Alan Alda
982,Andrew Luck
983,Alicia Vikander
984,Ben Foster
985,Analeigh Tipton
986,Alx James
987,Anthony Mackie
988,Adriana Barraza
989,Al Pacino
990,Barabara Palvin
991,Adele
992,Ashley Judd
993,Alexis Thorpe
994,Alex Pettyfer
995,Adele
996,Anna Faris
997,Alx James
998,Amy Schumer
999,Akemi Darenogare
1000,Anne Hathaway
1001,Benjamin Bratt
1002,Annette Bening
1003,Benjamin Bratt
1004,Barbra Streisand
1005,Anthony Perkins
1006,Amy Adams
1007,Amy Schumer
1008,Bill Daley
1009,Anna Kendrick
1010,Alan Alda
1011,Alessandra Ambrosio
1012,Adrianne Palicki
1013,Alan Rickman
1014,Berenice Bejo
1015,Audrey Tautou
1016,Ben Affleck
1017,Anna Sui
1018,Bill Daley
1019,Adriana Lima
1020,Alessandra Ambrosio
1021,Benicio Del Toro
1022,Anderson Cooper
1023,Anthony Mackie
1024,Al Pacino
1025,Anna Paquin
1026,Adele
1027,Bill Daley
1028,Betty White
1029,Billy Bob Thornton
1030,Abigail Breslin
1031,Angelina Jolie
1032,Adriana Lima
1033,Alex Pettyfer
1034,Anne Hathaway
1035,Amanda Crew
1036,Adele
1037,Adele
1038,Anna Sui
1039,Anjelica Huston
1040,Bill Daley
1041,Al Roker
1042,Bill Pullman
1043,Andie MacDowell
1044,Adrien Brody
1045,Anne Hathaway
1046,Adele
1047,Anne Hathaway
1048,Ali Larter
1049,Amanda Peet
1050,Adriana Lima
1051,Angelina Jolie
1052,Amanda Seyfried
1053,Angela Bassett
1054,Ashley Greene
1055,Adele
1056,Ben Stiller
1057,Ashton Kutcher
1058,Adele
1059,Amy Schumer
1060,Angelina Jolie
1061,Betty White
1062,Annette Bening
1063,Benjamin Bratt
1064,Ali Larter
1065,Al Roker
1066,Benicio Del Toro
1067,Bette Midler
1068,Bill Rancic
1069,Adele
1070,Ava Gardner
1071,Adrianne Palicki
1072,Arnold Schwarzenegger
1073,Al Pacino
1074,Aaron Taylor-Johnson
1075,Amy Schumer
1076,Alexandra Daddario
1077,Alessandra Ambrosio
1078,Arnold Schwarzenegger
1079,Ashton Kutcher
1080,Alexandra Daddario
1081,Andrew Garfield
1082,Adele
1083,Anna Paquin
1084,Ashley Judd
1085,Alexis Thorpe
1086,Amanda Seyfried
1087,Al Roker
1088,Abigail Breslin
1089,Adriana Barraza
1090,Adele
1091,Arnold Schwarzenegger
1092,Barbra Streisand
1093,Andy Serkis
1094,Barabara Palvin
1095,Anthony Perkins
1096,Bill Murray
1097,Bill Daley
1098,Alan Arkin
1099,Alec Baldwin
1100,Alexandra Daddario
1101,Betty White
1102,Billy Bob Thornton
1103,Andy Murray
1104,Bill Pullman
1105,bella thorne
1106,Alexander Skarsgard
1107,Ashton Kutcher
1108,Andie MacDowell
1109,Aaron Taylor-Johnson
1110,Akemi Darenogare
1111,Benicio Del Toro
1112,Ashley Greene
1113,Anna Paquin
1114,Ava Gardner
1115,Alan Rickman
1116,Anne Baxter
1117,Anna Friel
1118,Bernie Mac
1119,Alicia Vikander
1120,Anne Baxter
1121,Anne Baxter
1122,Amanda Peet
1123,Alessandra Ambrosio
1124,Ben Foster
1125,Anna Paquin
1126,Anne Baxter
1127,Amanda Bynes
1128,Al Roker
1129,Aaron Paul
1130,Ben Kingsley
1131,Ben Johnson
1132,Andy Serkis
1133,Amanda Peet
1134,Anne Hathaway
1135,Adele
1136,Billy Bob Thornton
1137,Anne Baxter
1138,Benedict Cumberbatch
1139,Alex Pettyfer
1140,Amy Schumer
1141,Adele
1142,Anthony Perkins
1143,Analeigh Tipton
1144,Billy Bob Thornton
1145,Ashley Greene
1146,Ashley Greene
1147,Alexandra Daddario
1148,Ben Kingsley
1149,Arnold Schwarzenegger
1150,Adele
1151,Ava Gardner
1152,Alice Eve
1153,Audrey Hepburn
1154,Adele
1155,Alan Rickman
1156,Andy Samberg
1157,Bernie Mac
1158,Adele
1159,Ben Johnson
1160,Alexander Skarsgard
1161,Bette Midler
1162,Bernie Mac
1163,Andy Samberg
1164,Andreea Diaconu
1165,Adriana Barraza
1166,Adriana Barraza
1167,Amy Adams
1168,Alex Pettyfer
1169,Ashley Greene
1170,Adrien Brody
1171,Ben Kingsley
1172,Adele
1173,Annette Bening
1174,Alx James
1175,Adele
1176,Ashley Greene
1177,Billy Bob Thornton
1178,Anne Baxter
1179,Audrey Tautou
1180,Alessandra Ambrosio
1181,Alan Arkin
1182,Al Roker
1183,Arnold Schwarzenegger
1184,Bella Hadid
1185,Anderson Cooper
1186,Bill Pullman
1187,Aaron Judge
1188,Amanda Peet
1189,Anne Hathaway
1190,Alicia Vikander
1191,Amber Heard
1192,Billy Bob Thornton
1193,Andy Samberg
1194,Amber Heard
1195,Bette Midler
1196,Analeigh Tipton
1197,Adriana Lima
1198,Alan Arkin
1199,Adele
1200,Adele
1201,Anna Faris
1202,Alan Rickman
1203,Andreea Diaconu
1204,Barbra Streisand
1205,Ben Affleck
1206,Alexandra Daddario
1207,Adam Sandler
1208,Amy Schumer
1209,Amanda Bynes
1210,Adele
1211,Bill Pullman
1212,Ben Foster
1213,Aaron Paul
1214,Anne Baxter
1215,Ashley Graham
1216,Ben Kingsley
1217,Amy Schumer
1218,Ava Gardner
1219,Amber Heard
1220,Angelina Jolie
1221,Bill Daley
1222,Alexander Skarsgard
1223,Anna Friel
1224,Alan Arkin
1225,Adele
1226,Arnold Schwarzenegger
1227,Barbra Streisand
1228,Anthony Perkins
1229,Barry Pepper
1230,Adele
1231,Bill Murray
1232,Abigail Breslin
1233,Ashton Kutcher
1234,Ashley Graham
1235,Aaron Paul
1236,Amy Schumer
1237,Amanda Crew
1238,Adele
1239,Andie MacDowell
1240,Bill O Reilly
1241,Adele
1242,Audrey Tautou
1243,Alx James
1244,Bill Murray
1245,Bill Hader
1246,AnnaSophia Robb
1247,Alan Rickman
1248,Anjelica Huston
1249,Akemi Darenogare
1250,Barry Pepper
1251,Audrey Tautou
1252,Anna Kendrick
1253,Andy Samberg
1254,Amanda Peet
1255,Bill Daley
1256,Adele
1257,Bella Hadid
1258,Ben Johnson
1259,Angela Bassett
1260,Bernie Mac
1261,Andy Garcia
1262,Al Pacino
1263,Anne Baxter
1264,Anthony Mackie
1265,Ashton Kutcher
1266,Anne Hathaway
1267,Ashton Kutcher
1268,Andreea Diaconu
1269,Betty White
1270,Amy Schumer
1271,Andy Garcia
1272,Art Carney
1273,Ashley Greene
1274,Aaron Taylor-Johnson
1275,Bette Midler
1276,Amy Schumer
1277,Amy Schumer
1278,Anne Bancroft
1279,Adam Sandler
1280,Adele
1281,Anne Hathaway
1282,Analeigh Tipton
1283,Bill Murray
1284,Ashley Graham
1285,Adriana Barraza
1286,Amy Adams
1287,Berenice Bejo
1288,Audrey Hepburn
1289,Anna Paquin
1290,Bill Daley
1291,Billy Bob Thornton
1292,Arnold Schwarzenegger
1293,Bella Hadid
1294,Bill Daley
1295,Alessandra Ambrosio
1296,Ashley Graham
1297,Ben Kingsley
1298,Bill Pullman
1299,Billy Bob Thornton
1300,Angelina Jolie
1301,Albert Finney
1302,Angelina Jolie
1303,Albert Finney
1304,Adele
1305,Adele
1306,Barry Pepper
1307,Bill Rancic
1308,Adele
1309,Amber Heard
1310,Amanda Bynes
1311,Bill Hader
1312,Amanda Peet
1313,Andy Garcia
1314,Benedict Cumberbatch
1315,Bill Pullman
1316,Ali Larter
1317,Annette Bening
1318,Albert Finney
1319,Audrey Tautou
1320,Barabara Palvin
1321,Adele
1322,Barbra Streisand
1323,Bill Murray
1324,Ben Kingsley
1325,Ben Kingsley
1326,Anne Baxter
1327,bella thorne
1328,Alex Pettyfer
1329,Anderson Cooper
1330,Adele
1331,Amy Adams
1332,Aaron Taylor-Johnson
1333,Bill Daley
1334,Ben Foster
1335,Alan Arkin
1336,Ali Larter
1337,AnnaSophia Robb
1338,Alan Alda
1339,Anna Friel
1340,Adrien Brody
1341,Alexandra Daddario
1342,Aaron Taylor-Johnson
1343,Bill Rancic
1344,Anna Kendrick
1345,Andy Serkis
1346,Betty White
1347,Ali Larter
